Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
1,03/06/2026,13:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-ADM-001""]"
2,04/06/2026,13:45,Incident,Michauffe,mamay be,New,Medium,"[""PC-ADM-001"",""MN-FORM-002""]"
3,05/06/2026,08:30,Incident,Mihantona,mitakona be,New,Medium,"[""PC-COMPTA-001""]"
4,06/06/2026,09:15,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-COMPTA-002""]"
5,07/06/2026,10:00,Incident,Tsy misy internet,tapaka foana ny connexion,New,Medium,"[""PC-LAB-001""]"
6,08/06/2026,11:45,Incident,Ecran mainty,tsy misy sary mivoaka,New,High,"[""PC-LAB-002"",""MN-FORM-002""]"
7,09/06/2026,13:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-LAB-003""]"
8,10/06/2026,14:15,Demande,Souris simba,tsy mihetsika ny tondro,New,Low,"[""PC-BIB-001""]"
9,11/06/2026,15:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-FORM-001""]"
10,12/06/2026,16:45,incident,Session bloquée,tsy afaka miditra amin'ny kaonty,new,high,TEL-ADM-001
11,13/06/2026,08:00,Incident,Mandeha miadana,mavesatra be ny solosaina,En cours,Medium,PC-LAB-012
12,14/06/2026,09:15,Incident,Virus,misy pop-up hafahafa miseho foana,New,High,"[""PC-BIB-015""]"
13,15/06/2026,10:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-COMPTA-018""]"
14,16/06/2026,11:45,Incident,Tsy mandeha,hafahafa be,Nouveau,Medium,"[""PC-LAB-021""]"
15,17/06/2026,13:00,Incident,Michauffe,mamay be,In Progress,Medium,"[""PC-ADM-024""]"
16,18/06/2026,14:15,Incident,Mihantona,mitakona be,Processing,Medium,"[""PC-COMPTA-027""]"
17,19/06/2026,15:30,Incident,Tsy misy internet,tapaka foana ny connexion,En cours,Medium,"[""PC-SALLE-030""]"
18,20/06/2026,16:45,Incident,Ecran mainty,tsy misy sary mivoaka,Assigned,High,"[""PC-SALLE-033"",""MN-FORM-034""]"
19,21/06/2026,08:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,Assigné,Medium,"[""PC-FORM-036""]"
20,22/06/2026,09:15,Demande,Souris simba,tsy mihetsika ny tondro,Assigne,Low,"[""PC-COMPTA-039""]"
21,23/06/2026,10:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-LAB-042""]"
22,24/06/2026,11:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,new,High,"[""PC-BIB-045""]"
23,25/06/2026,13:00,Incident,Mandeha miadana,mavesatra be ny solosaina,nouveau,Medium,"[""PC-SALLE-048""]"
24,26/06/2026,14:15,Incident,Virus,misy pop-up hafahafa miseho foana,Closed,High,"[""PC-SALLE-051""]"
25,27/06/2026,15:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,Clos,Low,"[""PC-FORM-054""]"
26,28/06/2026,16:45,Incident,Tsy mandeha,hafahafa be,clos,Medium,"[""PC-COMPTA-057""]"
27,29/06/2026,08:30,Incident,Michauffe,mamay be,En cours,Medium,"[""PC-LAB-060""]"
28,30/06/2026,09:15,Incident,Mihantona,mitakona be,In Progress,Medium,"[""PC-BIB-063""]"
29,01/06/2026,10:00,Incident,Tsy misy internet,tapaka foana ny connexion,Closed,Medium,"[""PC-SALLE-066""]"
30,02/06/2026,11:45,Incident,Ecran mainty,tsy misy sary mivoaka,Clos,High,"[""PC-SALLE-069"",""MN-FORM-070""]"
31,03/06/2026,13:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-FORM-072""]"
32,04/06/2026,14:15,Demande,Souris simba,tsy mihetsika ny tondro,Assigné,Low,"[""PC-COMPTA-075""]"
33,05/06/2026,15:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,En cours,Medium,"[""PC-LAB-078""]"
34,06/06/2026,16:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,Closed,High,"[""PC-BIB-081""]"
35,07/06/2026,08:00,Incident,Mandeha miadana,mavesatra be ny solosaina,Clos,Medium,"[""PC-SALLE-084""]"
36,08/06/2026,09:15,Incident,Virus,misy pop-up hafahafa miseho foana,nouveau,High,"[""PC-SALLE-087""]"
37,09/06/2026,10:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,assigne,Low,"[""PC-FORM-090""]"
38,10/06/2026,11:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-COMPTA-093""]"
39,11/06/2026,13:00,Incident,Michauffe,mamay be,New,Medium,"[""PC-LAB-096""]"
40,12/06/2026,14:15,Incident,Mihantona,mitakona be,New,Medium,"[""PC-BIB-099""]"
41,13/06/2026,15:30,Incident,Tsy misy internet,tapaka foana ny connexion,New,Medium,"[""PC-ADM-001""]"
42,14/06/2026,16:45,Incident,Ecran mainty,tsy misy sary mivoaka,New,High,"[""PC-ADM-002"",""MN-FORM-002""]"
43,15/06/2026,08:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-COMPTA-001""]"
44,16/06/2026,09:15,Demande,Souris simba,tsy mihetsika ny tondro,New,Low,"[""PC-COMPTA-002""]"
45,17/06/2026,10:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-LAB-001""]"
46,18/06/2026,11:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,New,High,"[""PC-LAB-002""]"
47,19/06/2026,13:00,Incident,Mandeha miadana,mavesatra be ny solosaina,New,Medium,"[""PC-LAB-003""]"
48,20/06/2026,14:15,Incident,Virus,misy pop-up hafahafa miseho foana,New,High,"[""PC-BIB-001""]"
49,21/06/2026,15:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-FORM-001""]"
50,22/06/2026,16:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""TEL-ADM-001""]"
51,23/06/2026,08:30,Incident,Michauffe,mamay be,New,Medium,"[""PC-LAB-012""]"
52,24/06/2026,09:15,Incident,Mihantona,mitakona be,New,Medium,"[""PC-BIB-015""]"
53,25/06/2026,10:00,Incident,Tsy misy internet,tapaka foana ny connexion,New,Medium,"[""PC-COMPTA-018""]"
54,26/06/2026,11:45,Incident,Ecran mainty,tsy misy sary mivoaka,New,High,"[""PC-LAB-021"",""MN-FORM-022""]"
55,27/06/2026,13:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-ADM-024""]"
56,28/06/2026,14:15,Demande,Souris simba,tsy mihetsika ny tondro,New,Low,"[""PC-COMPTA-027""]"
57,29/06/2026,15:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-SALLE-030""]"
58,30/06/2026,16:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,New,High,"[""PC-SALLE-033""]"
59,01/06/2026,08:00,Incident,Mandeha miadana,mavesatra be ny solosaina,New,Medium,"[""PC-FORM-036""]"
60,02/06/2026,09:15,Incident,Virus,misy pop-up hafahafa miseho foana,New,High,"[""PC-COMPTA-039""]"
61,03/06/2026,10:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-LAB-042""]"
62,04/06/2026,11:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-BIB-045""]"
63,05/06/2026,13:00,Incident,Michauffe,mamay be,New,Medium,"[""PC-SALLE-048""]"
64,06/06/2026,14:15,Incident,Mihantona,mitakona be,New,Medium,"[""PC-SALLE-051""]"
65,07/06/2026,15:30,Incident,Tsy misy internet,tapaka foana ny connexion,New,Medium,"[""PC-FORM-054""]"
66,08/06/2026,16:45,Incident,Ecran mainty,tsy misy sary mivoaka,New,High,"[""PC-COMPTA-057"",""MN-FORM-058""]"
67,09/06/2026,08:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-LAB-060""]"
68,10/06/2026,09:15,Demande,Souris simba,tsy mihetsika ny tondro,New,Low,"[""PC-BIB-063""]"
69,11/06/2026,10:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-SALLE-066""]"
70,12/06/2026,11:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,New,High,"[""PC-SALLE-069""]"
71,13/06/2026,13:00,Incident,Mandeha miadana,mavesatra be ny solosaina,New,Medium,"[""PC-FORM-072""]"
72,14/06/2026,14:15,Incident,Virus,misy pop-up hafahafa miseho foana,New,High,"[""PC-COMPTA-075""]"
73,15/06/2026,15:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-LAB-078""]"
74,16/06/2026,16:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-BIB-081""]"
75,17/06/2026,08:30,Incident,Michauffe,mamay be,New,Medium,"[""PC-SALLE-084""]"
76,18/06/2026,09:15,Incident,Mihantona,mitakona be,New,Medium,"[""PC-SALLE-087""]"
77,19/06/2026,10:00,Incident,Tsy misy internet,tapaka foana ny connexion,New,Medium,"[""PC-FORM-090""]"
78,20/06/2026,11:45,Incident,Ecran mainty,tsy misy sary mivoaka,New,High,"[""PC-COMPTA-093"",""MN-FORM-094""]"
79,21/06/2026,13:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-LAB-096""]"
80,22/06/2026,14:15,Demande,Souris simba,tsy mihetsika ny tondro,New,Low,"[""PC-BIB-099""]"
81,23/06/2026,15:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-ADM-001""]"
82,24/06/2026,16:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,New,High,"[""PC-ADM-002""]"
83,25/06/2026,08:00,Incident,Mandeha miadana,mavesatra be ny solosaina,New,Medium,"[""PC-COMPTA-001""]"
84,26/06/2026,09:15,Incident,Virus,misy pop-up hafahafa miseho foana,New,High,"[""PC-COMPTA-002""]"
85,27/06/2026,10:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-LAB-001""]"
86,28/06/2026,11:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-LAB-002""]"
87,29/06/2026,13:00,Incident,Michauffe,mamay be,New,Medium,"[""PC-LAB-003""]"
88,30/06/2026,14:15,Incident,Mihantona,mitakona be,New,Medium,"[""PC-BIB-001""]"
89,01/06/2026,15:30,Incident,Tsy misy internet,tapaka foana ny connexion,New,Medium,"[""PC-FORM-001""]"
90,02/06/2026,16:45,Incident,Ecran mainty,tsy misy sary mivoaka,New,High,"[""TEL-ADM-001"",""MN-FORM-002""]"
91,03/06/2026,08:00,Incident,Tsy velona,maty tanteraka tsy misy hazavana,New,Medium,"[""PC-LAB-012""]"
92,04/06/2026,09:15,Demande,Souris simba,tsy mihetsika ny tondro,New,Low,"[""PC-BIB-015""]"
93,05/06/2026,10:30,Incident,Clavier tsy manoratra,misy litera tsy mandeha rehefa tsindriana,New,Medium,"[""PC-COMPTA-018""]"
94,06/06/2026,11:45,Incident,Session bloquée,tsy afaka miditra amin'ny kaonty,New,High,"[""PC-LAB-021""]"
95,07/06/2026,13:00,Incident,Mandeha miadana,mavesatra be ny solosaina,New,Medium,"[""PC-ADM-024""]"
96,08/06/2026,14:15,Incident,Virus,misy pop-up hafahafa miseho foana,New,High,"[""PC-COMPTA-027""]"
97,09/06/2026,15:30,Demande,Fanavaozana,mila mampiditra rindrambaiko vaovao,New,Low,"[""PC-SALLE-030""]"
98,10/06/2026,16:45,Incident,Tsy mandeha,hafahafa be,New,Medium,"[""PC-SALLE-033""]"
99,11/06/2026,08:30,Incident,Michauffe,mamay be,New,Medium,"[""PC-FORM-036""]"
100,12/06/2026,09:15,Incident,Mihantona,mitakona be,New,Medium,"[""PC-COMPTA-039""]"
