Num_Ticket,Duration_second,Time_Cost,Fixed_Cost
1,7200,"100,0",0
1,2700,"56,25",150
1,7200,"90,0",200
2,900,"11,25",150
2,900,"15,0",300
2,1200,"13,33",80
3,900,"12,5",0
3,7200,"100,0",200
3,7200,"120,0",25
3,3600,"40,0",75
3,1200,"15,0",1200
5,2700,"26,25",500
5,1200,"11,67",75
5,3600,"75,0",900
6,300,"2,92",45
6,10800,"225,0",500
6,1200,"16,67",45
6,2700,"33,75",0
7,1200,"25,0",15
8,5400,"60,0",900
8,1200,"16,67",50
8,7200,"90,0",80
8,3600,"50,0",500
8,14400,"180,0",80
9,2700,"45,0",300
9,5400,"52,5",300
10,1200,"15,0",100
10,3600,"35,0",750
11,900,"8,75",75
12,10800,"180,0",200
12,1800,"20,0",45
12,2700,"30,0",150
12,10800,"120,0",300
13,14400,"300,0",100
13,1800,"25,0",1200
13,5400,"75,0",30
13,2700,"30,0",25
14,7200,"100,0",30
14,7200,"150,0",0
14,7200,"70,0",0
14,14400,"140,0",0
14,3600,"40,0",1200
15,600,"12,5",25
17,7200,"100,0",120
19,14400,"300,0",900
19,5400,"112,5",300
19,300,"2,92",500
19,7200,"100,0",0
21,1800,"30,0",80
21,300,"5,0",200
21,900,"8,75",15
21,7200,"80,0",50
22,10800,"180,0",75
23,1800,"25,0",0
23,2700,"37,5",250
24,1200,"25,0",50
24,1800,"37,5",0
24,14400,"300,0",0
24,600,"8,33",150
25,7200,"100,0",0
25,14400,"140,0",30
25,600,"8,33",200
26,2700,"45,0",15
26,7200,"70,0",50
26,1200,"25,0",750
26,5400,"67,5",0
26,600,"12,5",75
27,10800,"225,0",0
27,900,"11,25",0
27,1200,"20,0",25
27,3600,"35,0",80
28,10800,"120,0",750
29,14400,"240,0",100
29,3600,"75,0",25
29,600,"10,0",120
32,1200,"11,67",100
32,10800,"180,0",900
32,3600,"45,0",0
33,1800,"25,0",300
33,1200,"15,0",500
33,3600,"50,0",30
33,14400,"240,0",150
33,600,"10,0",80
34,600,"5,83",75
35,3600,"75,0",1200
36,3600,"45,0",120
40,5400,"67,5",75
40,600,"6,67",0
41,3600,"50,0",500
42,7200,"100,0",15
42,300,"2,92",120
42,7200,"70,0",900
42,10800,"135,0",150
44,3600,"50,0",0
44,7200,"80,0",750
45,900,"18,75",150
45,900,"10,0",75
45,1800,"22,5",300
45,900,"8,75",30
46,1800,"25,0",80
46,5400,"52,5",120
46,1800,"20,0",1200
47,10800,"180,0",45
47,5400,"52,5",25
47,1800,"17,5",150
48,10800,"150,0",100
48,5400,"67,5",200
49,10800,"120,0",80
49,2700,"45,0",45
49,5400,"67,5",30
49,3600,"45,0",80
49,14400,"200,0",750
50,2700,"37,5",75
51,2700,"26,25",750
51,1200,"20,0",500
51,900,"18,75",500
53,5400,"112,5",45
53,5400,"67,5",0
53,3600,"75,0",300
53,900,"18,75",80
53,1200,"15,0",25
54,3600,"50,0",0
54,5400,"90,0",300
54,10800,"150,0",500
54,7200,"150,0",200
54,7200,"70,0",120
55,7200,"120,0",1200
55,600,"5,83",50
55,14400,"300,0",120
55,900,"18,75",900
55,300,"5,0",1200
56,14400,"200,0",100
56,3600,"35,0",0
56,600,"7,5",50
56,7200,"150,0",450
56,7200,"120,0",750
57,5400,"67,5",150
58,14400,"240,0",450
58,900,"11,25",0
58,5400,"52,5",80
59,600,"5,83",25
59,2700,"33,75",100
59,5400,"60,0",450
60,2700,"37,5",15
60,5400,"112,5",250
60,2700,"26,25",80
62,600,"5,83",100
62,14400,"140,0",30
62,1200,"20,0",30
62,7200,"80,0",100
62,7200,"100,0",250
63,3600,"75,0",30
64,14400,"300,0",200
65,300,"6,25",900
65,1200,"16,67",750
65,3600,"50,0",0
66,1200,"13,33",75
66,600,"10,0",15
66,7200,"80,0",120
66,2700,"30,0",250
66,600,"7,5",300
67,14400,"180,0",900
67,3600,"60,0",150
67,10800,"105,0",120
67,2700,"37,5",900
68,14400,"300,0",80
69,10800,"105,0",25
69,2700,"26,25",50
69,1800,"17,5",30
69,2700,"56,25",25
70,3600,"50,0",900
70,900,"15,0",150
70,3600,"40,0",300
70,14400,"240,0",1200
71,7200,"80,0",300
72,900,"10,0",100
72,5400,"90,0",0
73,300,"4,17",25
73,1200,"16,67",500
74,14400,"200,0",200
74,14400,"200,0",200
74,5400,"75,0",30
74,600,"10,0",0
75,1800,"17,5",75
76,7200,"90,0",30
77,10800,"225,0",300
77,7200,"120,0",15
77,10800,"105,0",75
78,2700,"45,0",0
78,5400,"90,0",45
78,3600,"35,0",1200
78,1200,"15,0",0
79,1800,"22,5",0
79,5400,"52,5",50
79,1200,"25,0",750
80,2700,"56,25",900
80,14400,"200,0",30
80,10800,"120,0",45
80,1200,"11,67",750
80,2700,"45,0",75
81,7200,"80,0",100
81,1800,"22,5",750
81,1800,"30,0",15
81,900,"12,5",0
82,14400,"160,0",25
82,1200,"13,33",100
83,14400,"200,0",300
84,10800,"225,0",75
85,3600,"50,0",250
85,600,"12,5",0
85,3600,"60,0",75
85,2700,"37,5",300
85,2700,"45,0",0
86,600,"12,5",250
86,14400,"300,0",120
86,600,"10,0",150
86,1200,"16,67",45
86,5400,"67,5",100
87,2700,"45,0",750
87,900,"15,0",300
88,14400,"140,0",0
88,600,"12,5",250
91,5400,"75,0",0
92,1200,"25,0",25
92,14400,"180,0",30
92,1800,"17,5",1200
93,1800,"17,5",120
93,14400,"300,0",30
95,14400,"180,0",50
95,3600,"75,0",0
95,600,"5,83",45
96,600,"6,67",750
96,1200,"20,0",250
96,300,"2,92",100
98,900,"12,5",0
98,1200,"16,67",0
98,600,"5,83",100
99,1800,"20,0",150
99,900,"18,75",25
101,10800,"105,0",900
101,14400,"160,0",250
101,2700,"56,25",45
101,14400,"300,0",25
102,10800,"225,0",250
102,1200,"11,67",15
102,900,"8,75",750
103,3600,"45,0",200
103,2700,"30,0",50
103,1800,"37,5",0
103,1200,"20,0",900
103,10800,"225,0",900
104,300,"6,25",80
104,1200,"20,0",900
105,1200,"25,0",150
105,1800,"37,5",0
105,1200,"16,67",150
105,600,"6,67",300
106,10800,"105,0",450
106,300,"3,75",100
106,900,"12,5",750
106,3600,"45,0",500
106,14400,"160,0",300
109,600,"5,83",75
109,1200,"11,67",0
109,3600,"60,0",80
109,14400,"300,0",450
110,3600,"75,0",150
110,600,"12,5",500
110,7200,"120,0",25
111,600,"7,5",0
111,7200,"80,0",25
112,2700,"37,5",750
112,14400,"300,0",1200
112,600,"7,5",200
112,1200,"11,67",50
114,600,"8,33",900
114,10800,"105,0",80
114,14400,"300,0",30
117,900,"18,75",0
117,900,"12,5",120
117,7200,"120,0",75
117,900,"11,25",25
117,1800,"37,5",15
119,3600,"45,0",450
119,600,"7,5",750
120,600,"8,33",250
120,7200,"90,0",0
120,5400,"90,0",30
120,2700,"30,0",75
120,600,"10,0",15
121,7200,"70,0",0
123,300,"4,17",120
124,900,"10,0",0
124,7200,"150,0",1200
124,3600,"40,0",100
125,3600,"75,0",100
126,600,"10,0",120
126,600,"10,0",0
127,1200,"20,0",0
128,600,"8,33",80
128,1800,"22,5",0
128,7200,"100,0",0
129,1200,"15,0",750
129,1800,"37,5",900
130,5400,"67,5",750
131,1200,"25,0",500
131,1200,"13,33",0
131,3600,"35,0",50
132,2700,"56,25",0
132,2700,"26,25",150
132,1800,"17,5",45
132,7200,"80,0",200
133,300,"3,33",75
133,600,"5,83",50
133,7200,"100,0",120
134,600,"10,0",15
134,7200,"80,0",1200
134,3600,"35,0",750
135,300,"4,17",25
135,1200,"15,0",75
135,2700,"37,5",100
135,2700,"37,5",75
136,600,"6,67",25
137,600,"6,67",15
137,900,"12,5",250
137,2700,"37,5",15
137,7200,"90,0",45
138,1800,"25,0",75
138,600,"5,83",30
138,14400,"180,0",900
140,2700,"30,0",0
141,1200,"15,0",150
141,7200,"70,0",80
141,1800,"20,0",0
141,3600,"50,0",500
141,7200,"80,0",15
142,600,"6,67",15
142,300,"2,92",50
142,900,"10,0",150
143,14400,"300,0",1200
143,600,"10,0",750
144,600,"5,83",0
144,1200,"25,0",250
145,600,"7,5",15
147,300,"3,33",750
147,3600,"75,0",150
147,5400,"52,5",150
148,3600,"40,0",120
148,1200,"13,33",75
148,1800,"25,0",25
148,300,"5,0",900
148,10800,"120,0",1200
149,5400,"75,0",500
149,5400,"52,5",0
150,3600,"40,0",200
150,1200,"25,0",450
151,14400,"240,0",0
152,2700,"37,5",500
152,5400,"67,5",750
152,7200,"90,0",150
153,900,"8,75",100
153,10800,"120,0",0
154,300,"4,17",450
154,2700,"45,0",50
155,600,"6,67",50
156,7200,"150,0",0
156,1200,"20,0",150
157,900,"10,0",50
157,10800,"135,0",120
158,300,"6,25",120
158,10800,"180,0",25
158,10800,"120,0",300
158,7200,"90,0",30
159,300,"2,92",0
159,1200,"20,0",50
159,300,"5,0",300
161,10800,"120,0",25
161,2700,"56,25",30
162,300,"2,92",25
162,10800,"225,0",25
164,2700,"26,25",120
164,14400,"200,0",750
164,600,"7,5",80
164,2700,"30,0",30
165,3600,"75,0",300
165,14400,"180,0",30
165,7200,"150,0",900
165,2700,"30,0",750
165,900,"12,5",80
166,1800,"20,0",30
166,300,"6,25",750
166,3600,"60,0",0
166,900,"15,0",100
166,10800,"120,0",1200
167,600,"8,33",25
167,2700,"56,25",0
167,1200,"15,0",100
167,900,"18,75",0
168,14400,"300,0",100
168,5400,"52,5",75
168,1200,"13,33",0
168,2700,"33,75",15
168,300,"2,92",150
169,3600,"40,0",200
169,5400,"75,0",120
169,7200,"100,0",15
170,10800,"225,0",50
170,900,"12,5",0
170,300,"3,75",0
171,1800,"17,5",0
171,2700,"30,0",150
172,600,"10,0",0
173,10800,"180,0",300
173,300,"4,17",1200
174,10800,"150,0",30
177,1200,"13,33",200
177,7200,"150,0",500
178,14400,"180,0",80
178,1200,"11,67",0
179,10800,"180,0",300
179,900,"8,75",120
179,300,"4,17",0
180,14400,"300,0",900
180,5400,"60,0",15
182,900,"18,75",80
184,600,"7,5",150
184,5400,"75,0",75
184,600,"12,5",500
185,900,"11,25",150
185,2700,"30,0",250
185,300,"3,75",250
186,1800,"20,0",75
186,10800,"105,0",25
186,14400,"140,0",0
187,2700,"45,0",200
187,10800,"120,0",500
187,300,"4,17",450
187,3600,"60,0",300
187,10800,"120,0",300
188,600,"8,33",0
188,7200,"120,0",450
189,14400,"240,0",25
189,600,"8,33",30
189,900,"10,0",45
189,900,"8,75",200
191,3600,"40,0",1200
191,900,"15,0",75
191,2700,"56,25",0
191,600,"8,33",500
191,3600,"60,0",100
192,7200,"100,0",0
192,10800,"180,0",450
193,600,"8,33",25
193,900,"15,0",750
193,10800,"105,0",15
194,600,"7,5",500
194,2700,"37,5",75
194,3600,"75,0",300
194,10800,"180,0",300
196,1800,"25,0",25
197,10800,"225,0",150
197,300,"4,17",100
197,1200,"11,67",300
